="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="FFR",="6 Mo",="1 Yr",="5 Yr",="10 Yr"
="lag_federal_funds_rate",="0.7948***",="",="",="",=""
="",="(0.0016)",="",="",="",=""
="Real_GDP",="-0.0026***",="-0.0009*",="0.0007",="0.0017***",="0.0021***"
="",="(0.0004)",="(0.0005)",="(0.0006)",="(0.0005)",="(0.0005)"
="Cons_Price_Index",="0.0162***",="0.0218***",="0.0216***",="0.0269***",="0.0269***"
="",="(0.0010)",="(0.0012)",="(0.0012)",="(0.0011)",="(0.0010)"
="lag_treas_bills_6mo",="",="0.7801***",="",="",=""
="",="",="(0.0017)",="",="",=""
="lag_treas_bills_1yr",="",="",="0.7744***",="",=""
="",="",="",="(0.0018)",="",=""
="lag_treas_notes_5yr",="",="",="",="0.7518***",=""
="",="",="",="",="(0.0018)",=""
="lag_treas_notes_10yr",="",="",="",="",="0.7574***"
="",="",="",="",="",="(0.0018)"
="Constant",="0.5974***",="0.6582***",="0.7140***",="0.9625***",="1.0611***"
="",="(0.0053)",="(0.0061)",="(0.0066)",="(0.0078)",="(0.0084)"
="Observations",="96614",="87287",="87753",="94861",="96099"
="r2",="0.9929",="0.9910",="0.9902",="0.9886",="0.9880"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
